Chat,Clase
T1 Betzavel Laso Roman/04-03-2026,Confirmación_Estado
T1 Betzavel Laso Roman/13-02-2026,Facturación_Documentos
T1 Betzavel Laso Roman/16-02-2026,Facturación_Documentos
T1 Betzavel Laso Roman/19-01-2026,Facturación_Documentos
T1 Betzavel Laso Roman/22-01-2026,Interacción/Relacional
T1 Betzavel Laso Roman/25-02-2026,Facturación_Documentos
T1 Betzavel Laso Roman/26-02-2026,Facturación_Documentos
T1 Betzavel Laso Roman/29-01-2026,Cancelación
T1 Betzavel Laso Roman/30-01-2026,Gestión de Pedidos/Entregas
T1 Carmen Karful 45143/02-03-2026,Cotización/Presupuesto
T1 Carmen Karful 45143/03-02-2026,Facturación_Documentos
T1 Carmen Karful 45143/03-03-2026,Gestión de Pedidos/Entregas
T1 Carmen Karful 45143/04-02-2026,Gestión de Pedidos/Entregas
T1 Carmen Karful 45143/04-03-2026,Cotización/Presupuesto
T1 Carmen Karful 45143/06-03-2026,Confirmación_Estado
T1 Carmen Karful 45143/08-04-2026,Facturación_Documentos
T1 Carmen Karful 45143/09-02-2026,Facturación_Documentos
T1 Carmen Karful 45143/10-02-2026,Facturación_Documentos
T1 Carmen Karful 45143/11-03-2026,Facturación_Documentos
T1 Carmen Karful 45143/12-03-2026,Facturación_Documentos
T1 Carmen Karful 45143/13-03-2026,Facturación_Documentos
T1 Carmen Karful 45143/18-03-2026,Facturación_Documentos
T1 Carmen Karful 45143/19-03-2026,Confirmación_Estado
T1 Carmen Karful 45143/23-01-2026,Confirmación_Estado
T1 Carmen Karful 45143/23-03-2026,Confirmación_Estado
T1 Carmen Karful 45143/24-02-2026,Confirmación_Estado
T1 Carmen Karful 45143/25-04-2026,Facturación_Documentos
T1 Carmen Karful 45143/27-02-2026,Facturación_Documentos
T1 Carmen Karful 45143/27-03-2026,Gestión de Pedidos/Entregas
T1 Carmen Karful 45143/28-02-2026,Cotización/Presupuesto
T1 Carmen Karful 45143/28-03-2026,Facturación_Documentos
T1 Carmen Karful 45143/29-01-2026,Facturación_Documentos
T1 Carmen Karful 45143/30-01-2026,Facturación_Documentos
T1 Carmen Karful 45143/30-03-2026,Facturación_Documentos
T1 Dulce 45871/03-02-2026,Gestión de Pedidos/Entregas
T1 Dulce 45871/14-04-2026,Gestión de Pedidos/Entregas
T1 Dulce 45871/18-02-2026,Interacción/Relacional
T1 Dulce 45871/20-03-2026,Interacción/Relacional
T1 Dulce 45871/21-03-2026,Confirmación_Estado
T1 Dulce 45871/25-04-2026,Confirmación_Estado
T1 Dulce 45871/31-01-2026,Confirmación_Estado
T1 Patricia 30049 Urrea ✨🍀🙏🏻/10-04-2026,Interacción/Relacional
T1 Patricia 30049 Urrea ✨🍀🙏🏻/17-04-2026,Gestión de Pedidos/Entregas
T1 Patricia 30049 Urrea ✨🍀🙏🏻/23-02-2026,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/02-09-2024,Facturación_Documentos
T2  Oriana 46797 Taller Capule Oriana/02-10-2024,Interacción/Relacional
T2  Oriana 46797 Taller Capule Oriana/02-12-2025,Interacción/Relacional
